region,scenario,model,n_hours,total_precip_mm,peak_precip_mm_h,peak_depth_m,NSE,CSI,TSS,delta_mass_pct,RMSE,MAE
west_africa_niger_benue,S1_extreme_monsoon,PADR-Net-lambda,240,174.8849303619475,12.843445898922033,0.1,0.6504314889432123,0.8169014084506928,0.9055555555555398,1.926782244391247,0.006820767901192534,0.0011421855516156444
west_africa_niger_benue,S1_extreme_monsoon,PADR-Net-0,240,174.8849303619475,12.843445898922033,0.1,0.6495299635917409,0.8169014084506928,0.9055555555555398,1.781008948376362,0.006829557502532518,0.0011478650282898501
west_africa_niger_benue,S1_extreme_monsoon,Persistence,240,174.8849303619475,12.843445898922033,0.1,0.061832192592068624,0.7536231884057862,0.8166666666666524,9.331996314740593,0.011173966945736621,0.003575713539993801
west_africa_niger_benue,S2_cyclone_flash,PADR-Net-lambda,168,161.3142676689291,5.051178898615954,0.1,0.4342213172908722,0.8723404255318963,0.9365079365079135,5.797567052676427,0.0076392303319813325,0.0009983771684404122
west_africa_niger_benue,S2_cyclone_flash,PADR-Net-0,168,161.3142676689291,5.051178898615954,0.1,0.43420374632614955,0.8723404255318963,0.9365079365079135,5.750814008366763,0.007639348953987279,0.0010002765481041736
west_africa_niger_benue,S2_cyclone_flash,Persistence,168,161.3142676689291,5.051178898615954,0.1,0.42294209574323427,0.8888888888888691,0.9285714285714061,10.033425782773282,0.007715001444583368,0.001222178445179136
west_africa_niger_benue,S3_seasonal_sequence,PADR-Net-lambda,4320,2458.715206418051,15.369267206670902,0.1,0.7265109034832518,0.9459459459459452,0.9629629629629621,5.041622613859269,0.003702194825349154,0.0004557621958268513
west_africa_niger_benue,S3_seasonal_sequence,PADR-Net-0,4320,2458.715206418051,15.369267206670902,0.1,0.7261317687890505,0.9450945094509443,0.9626543209876536,5.044798595470596,0.0037047600910190895,0.0004557035253414146
west_africa_niger_benue,S3_seasonal_sequence,Persistence,4320,2458.715206418051,15.369267206670902,0.1,-0.01070603071536036,0.49034482758620657,0.5441358024691353,0.7266216228765586,0.0071170774132866665,0.0030340416112473434
east_africa_nile_headwaters,S1_extreme_monsoon,PADR-Net-lambda,240,134.63980843361963,4.933461221163727,0.1,0.3671939535482369,0.7631578947368322,0.8777777777777622,11.998616389592861,0.006734158891790574,0.001371833954541658
