model,feature_groups,lambda_phys,Spearman,PR_AUC,MAE,RMSE,CSI,TSS,NSE,delta_mass_pct,NSE_depth,alpha_aug,spectral_radius
M0,R,0.1,0.1942182754776458,0.40330567319814814,3.8907277901289605,4.303410043329768,0.0,0.0,-3.850499478208519,94.54622402447718,0.3804589746345922,0.01118144397804131,0.9
M1,R+M,0.1,0.6141160189136201,0.6202293552671426,3.7487461035709804,4.11650647315985,0.0,0.0,-3.4383199794944215,91.09601288949592,0.3804589746345922,0.01118144397804131,0.9
M2,R+E,0.1,0.3310883020028447,0.44609735645167625,3.815939820203661,4.21829225062272,0.0,0.0,-3.6605195518741116,92.72884677777473,0.3804589746345922,0.01118144397804131,0.9
M3,R+H,0.1,0.07743051551147502,0.3905760701591084,3.9088578360906947,4.337087121506384,0.0,0.0,-3.926713370367387,94.98679131150793,0.643359845433815,0.009102375325494183,0.9
M4,R+M+E,0.1,0.6985199707838389,0.6753021647030907,3.64152406008986,3.993574044552657,0.03448275862068847,0.03448275862068847,-3.177192467132426,88.49047482819863,0.3804589746345922,0.01118144397804131,0.9
M5,R+M+H,0.1,0.5855995079383385,0.6380486745041734,3.701444584854619,4.066002975345197,0.0,0.0,-3.3300846664944856,89.94656727764888,0.643359845433815,0.009102375325494183,0.9
M6,R+M+E+H,0.1,0.671010648521893,0.7031838944549965,3.5692387276381132,3.9194367983851635,0.03448275862068847,0.03448275862068847,-3.023540114268851,86.73391266185901,0.643359845433815,0.009102375325494183,0.9
M7,R+M+E+H,0.0,0.671010648521893,0.7031838944549965,3.5692387276381132,3.9194367983851635,0.03448275862068847,0.03448275862068847,-3.023540114268851,86.73391266185901,0.7928121612515734,0.001,0.9
M8,R+M+E+H,1.0,0.671010648521893,0.7031838944549965,3.5692387276381132,3.9194367983851635,0.03448275862068847,0.03448275862068847,-3.023540114268851,86.73391266185901,0.43627262811297063,0.08202375325494182,0.9
