predictor_set,model_id,feature_groups,Spearman,PR_AUC,MAE,RMSE,CSI,TSS,NSE,delta_mass_pct,NSE_depth,alpha_aug,spectral_radius
$\mathbf{x}^{R}$,M0,R,0.1942182754776458,0.40330567319814814,3.8907277901289605,4.303410043329768,0.0,0.0,-3.850499478208519,94.54622402447718,0.3804589746345922,0.01118144397804131,0.9
"$[\mathbf{x}^{R},\mathbf{x}^{M}]$",M1,R+M,0.6141160189136201,0.6202293552671426,3.7487461035709804,4.11650647315985,0.0,0.0,-3.4383199794944215,91.09601288949592,0.3804589746345922,0.01118144397804131,0.9
"$[\mathbf{x}^{R},\mathbf{x}^{M},\mathbf{x}^{E}]$",M4,R+M+E,0.6985199707838389,0.6753021647030907,3.64152406008986,3.993574044552657,0.03448275862068847,0.03448275862068847,-3.177192467132426,88.49047482819863,0.3804589746345922,0.01118144397804131,0.9
"Full $[\mathbf{x}^{R},\mathbf{x}^{M},\mathbf{x}^{E},\mathbf{x}^{H}]$",M6,R+M+E+H,0.671010648521893,0.7031838944549965,3.5692387276381132,3.9194367983851635,0.03448275862068847,0.03448275862068847,-3.023540114268851,86.73391266185901,0.643359845433815,0.009102375325494183,0.9
